[SPEAKER] [SYSTEM] [i] [WER] S:[numSubstitutions], I:[numInsertions], D:[numDeletions]
S-20D Kaldi 2 30.06756756756757 S:57, I:5, D:27
S-20D Kaldi 3 36.529680365296805 S:48, I:1, D:31
S-20D Kaldi 4 26.95035460992908 S:122, I:26, D:42
S-20D Kaldi 5 26.08695652173913 S:56, I:17, D:29
S-20D Kaldi 6 100.0 S:12, I:9, D:1
S-20D Kaldi 7 64.1025641025641 S:14, I:8, D:3
S-20D Kaldi 8 27.77777777777778 S:3, I:0, D:2
S-20D Kaldi 9 55.55555555555556 S:16, I:14, D:10
S-20D Kaldi 10 50.0 S:23, I:14, D:8
S-20D Kaldi 11 36.76470588235294 S:19, I:2, D:4
S-3C Google 0 29.23076923076923 S:26, I:13, D:18
S-3C Google 1 30.075187969924812 S:18, I:3, D:19
S-3C Google 2 34.50479233226837 S:40, I:12, D:56
S-3C Google 3 27.61904761904762 S:38, I:7, D:13
S-3C Google 4 34.074074074074076 S:83, I:15, D:40
S-3C Google 5 32.91139240506329 S:35, I:5, D:38
S-3C Kaldi 0 28.71794871794872 S:16, I:27, D:13
S-3C Kaldi 1 29.32330827067669 S:19, I:14, D:6
S-3C Kaldi 2 22.68370607028754 S:29, I:26, D:16
S-3C Kaldi 3 17.61904761904762 S:19, I:13, D:5
S-3C Kaldi 4 18.271604938271604 S:51, I:17, D:6
S-3C Kaldi 5 23.206751054852322 S:32, I:9, D:14
S-5A Google 0 49.51690821256039 S:102, I:3, D:100
S-5A Google 1 43.13725490196079 S:43, I:2, D:43
S-5A Google 2 42.17054263565891 S:131, I:12, D:129
S-5A Google 3 41.470588235294116 S:59, I:2, D:80
S-5A Google 4 39.15857605177994 S:52, I:4, D:65
S-5A Google 5 45.21739130434783 S:112, I:3, D:93
S-5A Kaldi 0 32.367149758454104 S:74, I:29, D:31
S-5A Kaldi 1 26.96078431372549 S:19, I:18, D:18
S-5A Kaldi 2 26.82170542635659 S:95, I:28, D:50
S-5A Kaldi 3 22.647058823529413 S:42, I:7, D:28
S-5A Kaldi 4 20.06472491909385 S:36, I:8, D:18
S-5A Kaldi 5 25.869565217391305 S:62, I:15, D:42
S-24D Google 0 47.78761061946903 S:56, I:2, D:50
S-24D Google 1 38.3399209486166 S:48, I:2, D:47
S-24D Google 2 42.26519337016575 S:87, I:11, D:55
S-24D Google 3 37.44588744588744 S:91, I:9, D:73
S-24D Google 4 38.32236842105263 S:115, I:8, D:110
S-24D Google 5 42.004264392324096 S:113, I:8, D:76
S-24D Google 6 44.15584415584416 S:15, I:1, D:18
S-24D Google 7 52.0 S:18, I:6, D:2
S-24D Google 8 24.074074074074073 S:5, I:0, D:8
S-24D Google 9 52.4822695035461 S:49, I:2, D:23
S-24D Google 10 45.833333333333336 S:18, I:0, D:15
S-24D Google 11 50.0 S:17, I:8, D:21
S-24D Kaldi 0 25.663716814159294 S:34, I:7, D:17
S-24D Kaldi 1 20.948616600790515 S:25, I:9, D:19
S-24D Kaldi 2 23.204419889502763 S:45, I:13, D:26
S-24D Kaldi 3 25.757575757575758 S:73, I:18, D:28
S-24D Kaldi 4 21.217105263157894 S:64, I:38, D:27
S-24D Kaldi 5 23.02771855010661 S:52, I:20, D:36
S-24D Kaldi 6 19.48051948051948 S:11, I:1, D:3
S-24D Kaldi 7 42.0 S:6, I:14, D:1
S-24D Kaldi 8 20.37037037037037 S:3, I:3, D:5
S-24D Kaldi 9 35.46099290780142 S:20, I:26, D:4
S-24D Kaldi 10 19.444444444444443 S:6, I:6, D:2
S-24D Kaldi 11 35.869565217391305 S:15, I:11, D:7
S-21A Google 0 64.73029045643153 S:71, I:2, D:83
S-21A Google 1 57.19844357976654 S:61, I:1, D:85
S-21A Google 2 59.34065934065934 S:44, I:1, D:63
S-21A Google 3 60.33254156769596 S:126, I:2, D:126
S-21A Google 4 61.39630390143737 S:136, I:6, D:157
S-21A Google 5 62.055335968379445 S:70, I:8, D:79
S-21A Google 6 61.76470588235294 S:22, I:0, D:41
