[SPEAKER] [SYSTEM] [i] [WER] S:[numSubstitutions], I:[numInsertions], D:[numDeletions]
S-16D Kaldi 1 15.24008350730689 S:35, I:10, D:28
S-16D Kaldi 2 18.88888888888889 S:29, I:15, D:7
S-16D Kaldi 3 13.9186295503212 S:31, I:22, D:12
S-16D Kaldi 4 13.972602739726028 S:24, I:17, D:10
S-16D Kaldi 5 21.05263157894737 S:26, I:26, D:4
S-16D Kaldi 6 30.476190476190474 S:10, I:13, D:9
S-16D Kaldi 7 34.04255319148936 S:4, I:11, D:1
S-16D Kaldi 8 17.094017094017094 S:5, I:12, D:3
S-16D Kaldi 9 28.571428571428573 S:3, I:3, D:0
S-16D Kaldi 10 27.027027027027028 S:4, I:4, D:2
S-16D Kaldi 11 22.535211267605632 S:4, I:12, D:0
S-16D Kaldi 12 25.641025641025642 S:3, I:7, D:0
S-30B Google 0 37.055837563451774 S:32, I:4, D:37
S-30B Google 1 32.35294117647059 S:12, I:2, D:30
S-30B Google 2 20.21276595744681 S:22, I:1, D:34
S-30B Google 3 21.645021645021647 S:23, I:2, D:25
S-30B Google 4 25.770925110132158 S:47, I:3, D:67
S-30B Google 5 26.6384778012685 S:46, I:7, D:73
S-30B Google 6 16.0 S:1, I:0, D:7
S-30B Google 7 27.77777777777778 S:11, I:0, D:9
S-30B Google 8 26.923076923076923 S:1, I:0, D:6
S-30B Google 9 50.0 S:8, I:0, D:17
S-30B Google 10 58.333333333333336 S:5, I:0, D:9
S-30B Google 11 39.21568627450981 S:4, I:1, D:15
S-30B Kaldi 0 23.85786802030457 S:31, I:6, D:10
S-30B Kaldi 1 21.323529411764707 S:17, I:8, D:4
S-30B Kaldi 2 12.056737588652481 S:20, I:3, D:11
S-30B Kaldi 3 14.718614718614718 S:19, I:5, D:10
S-30B Kaldi 4 19.60352422907489 S:42, I:9, D:38
S-30B Kaldi 5 16.913319238900634 S:49, I:4, D:27
S-30B Kaldi 6 16.0 S:3, I:2, D:3
S-30B Kaldi 7 15.277777777777779 S:9, I:1, D:1
S-30B Kaldi 8 15.384615384615385 S:2, I:1, D:1
S-30B Kaldi 9 14.0 S:5, I:0, D:2
S-30B Kaldi 10 16.666666666666668 S:3, I:0, D:1
S-30B Kaldi 11 27.45098039215686 S:5, I:3, D:6
S-15C Google 0 30.76923076923077 S:39, I:2, D:31
S-15C Google 1 24.603174603174605 S:34, I:3, D:25
S-15C Google 2 30.150753768844222 S:30, I:8, D:22
S-15C Google 3 25.806451612903224 S:25, I:5, D:26
S-15C Google 4 17.48878923766816 S:36, I:5, D:37
S-15C Google 5 30.357142857142858 S:54, I:7, D:41
S-15C Google 6 40.90909090909091 S:3, I:4, D:2
S-15C Google 7 56.56565656565657 S:25, I:13, D:18
S-15C Google 8 18.53146853146853 S:28, I:8, D:17
S-15C Kaldi 0 18.376068376068375 S:29, I:10, D:4
S-15C Kaldi 1 15.873015873015873 S:26, I:6, D:8
S-15C Kaldi 2 18.592964824120603 S:16, I:10, D:11
S-15C Kaldi 3 16.589861751152075 S:22, I:6, D:8
S-15C Kaldi 4 12.10762331838565 S:34, I:11, D:9
S-15C Kaldi 5 15.178571428571429 S:29, I:7, D:15
S-15C Kaldi 6 72.72727272727273 S:4, I:8, D:4
S-15C Kaldi 7 33.333333333333336 S:7, I:22, D:4
S-15C Kaldi 8 16.783216783216783 S:19, I:20, D:9

Kaldi WER avg: 24.933620434365864
Google WER avg: 37.72922404081223
Kaldi WER std: 11.961717150094463
Google WER std: 13.185485470162767
Summary: Google Speech API has larger std than the Kaldi ASR engine, which means the Kaldi ASR engine is closer to human translation standards.

As we can found in the Kaldi files and standard human transcripts files, there are so many sighs and pause voices were recorded in the text.
These are all the noises that Google Speech API trying to avoid and it count them as the real "noise". However, for the Kaldi ASR engine it
treat most of the sighs and pause voices such as "mhm" and "uh" as real human voice. We can also found that the WER mean of the Kaldi ASR engine
is smaller than the Google Speech API, this prove that the Kaldi ASR engine has higher accuracy to record every human voice than Google Speech API.
Moreover, Kaldi ASR engine's standard deviation is smaller than the Google Speech API's standard deviation, which also means the Kaldi ASR engine's
ability of recording pause voice is better than the Google Speech API. However, on the other hands, more pause voice (like "uh", "mhm", etc.) in a
sentence is NOT helpful for computer or human to understood the true mean of a sentence. In this aspect, Google Speech API is way more better than
the Kaldi ASR engines and standard human transcripts since it can record truly useful information from a noisy input voice and have more advanced
noise reduction capabilities.
